City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rongelap,11.1635,166.8941,81.14,77,100,16.08,MH,1685142927
Kourou,5.1552,-52.6478,77.05,91,97,6.93,GF,1685142929
Kavalerovo,44.2661,135.0572,67.86,52,49,3.29,RU,1685142929
Lázaro Cárdenas,17.9583,-102.2,86.58,58,55,7.7,MX,1685142929
Bethel,41.3712,-73.414,70.65,38,0,6.91,US,1685142930
Kuragino,53.8975,92.6725,41.2,86,77,0.81,RU,1685142930
Port-aux-Français,-49.35,70.2167,40.57,98,97,21.16,TF,1685142930
Ribeira Grande,38.5167,-28.7,63.77,81,7,11.01,PT,1685142931
Blackmans Bay,-43.0167,147.3167,53.73,68,94,11.45,AU,1685142931
Edinburgh of the Seven Seas,-37.0676,-12.3116,55.63,67,79,25.08,SH,1685142931
Mount Gambier,-37.8333,140.7667,54.16,68,100,9.53,AU,1685142931
Balykchy,42.4557,76.1861,46.62,66,1,0.18,KG,1685142932
Happy Valley-Goose Bay,53.3168,-60.3315,53.91,50,75,9.22,CA,1685142932
Saint-François,46.4154,3.9054,56.64,94,0,0.0,FR,1685142738
Abra Pampa,-22.7205,-65.697,51.93,11,99,9.89,AR,1685142932
Al Jawf,29.5,38.75,76.95,15,98,4.16,SA,1685142933
Aasiaat,68.7098,-52.8699,33.28,95,100,28.72,GL,1685142933
Bredasdorp,-34.5322,20.0403,48.54,71,0,4.38,ZA,1685142933
Bathurst,-33.4166,149.5806,43.97,78,1,3.18,AU,1685142725
Hermanus,-34.4187,19.2345,52.9,68,0,7.05,ZA,1685142933
Iqaluit,63.7506,-68.5145,22.69,73,40,27.63,CA,1685142934
Tura,25.5198,90.2201,69.51,92,63,2.93,IN,1685142934
Hasaki,35.7333,140.8333,72.28,63,98,6.8,JP,1685142934
Cedeira,43.6797,-8.0209,64.38,84,54,13.94,ES,1685142934
Keflavik,64.0049,-22.5624,42.71,87,100,35.68,IS,1685142935
Grytviken,-54.2811,-36.5092,38.25,98,100,6.49,GS,1685142935
George Town,5.4112,100.3354,78.73,89,40,0.0,MY,1685142717
Noumea,-22.2763,166.4572,75.18,99,1,0.81,NC,1685142935
Albany,42.6001,-73.9662,72.25,35,6,5.08,US,1685142659
Adamstown,-25.066,-130.1015,72.86,71,7,10.04,PN,1685142936
Codrington,-38.2667,141.9667,51.91,75,100,11.07,AU,1685142936
Tazovsky,67.4667,78.7,44.35,73,85,14.2,RU,1685142936
São José da Coroa Grande,-8.8978,-35.1478,76.98,87,3,8.1,BR,1685142937
Wailua Homesteads,22.0669,-159.378,81.03,65,20,14.97,US,1685142937
Papatowai,-46.5619,169.4708,49.89,88,100,7.23,NZ,1685142937
Ilulissat,69.2167,-51.1,35.62,87,100,13.8,GL,1685142937
Galliano,29.4422,-90.2992,84.99,42,0,6.91,US,1685142938
Thompson,55.7435,-97.8558,42.96,100,100,4.61,CA,1685142938
Haiku-Pauwela,20.9219,-156.3051,82.42,51,40,21.85,US,1685142938
Shetpe,44.1667,52.1167,74.82,38,100,14.05,KZ,1685142938
Invercargill,-46.4,168.35,50.52,87,99,7.92,NZ,1685142939
Olonkinbyen,70.9221,-8.7187,33.03,77,59,14.76,SJ,1685142944
New Norfolk,-42.7826,147.0587,54.91,65,100,3.0,AU,1685142944
Chu,43.5983,73.7614,54.77,46,13,7.83,KZ,1685142944
Saint Paul Harbor,57.79,-152.4072,47.71,71,100,9.22,US,1685142945
College,64.8569,-147.8028,62.92,59,75,16.11,US,1685142945
Colón,9.3592,-79.9014,79.95,81,100,4.41,PA,1685142945
Polyarny,69.1989,33.4478,40.23,72,99,16.08,RU,1685142945
Sisimiut,66.9395,-53.6735,34.32,77,100,36.86,GL,1685142945
Kigoma,-4.8769,29.6267,74.19,73,79,3.83,TZ,1685142946
Nabire,-3.3667,135.4833,78.96,79,99,3.91,ID,1685142946
Hamilton,39.1834,-84.5333,76.05,25,0,14.97,US,1685142417
Chamdo,31.1667,97.2333,37.4,66,4,4.07,CN,1685142951
Saipan,15.1355,145.701,83.64,100,40,15.01,MP,1685142951
Lihue,21.9789,-159.3672,81.64,64,20,14.97,US,1685142952
Xilin Hot,43.9667,116.0333,60.03,49,100,2.62,CN,1685142952
Niebüll,54.7866,8.8285,48.25,86,4,8.21,DE,1685142952
Dunedin,-45.8742,170.5036,55.8,56,100,4.23,NZ,1685142927
Waitangi,-43.9535,-176.5597,60.82,83,21,8.01,NZ,1685142952
Portland,45.5234,-122.6762,87.82,39,20,11.5,US,1685142851
Prince Albert,53.2001,-105.7677,62.55,77,75,6.91,CA,1685142953
Lā‘ie,21.6477,-157.9253,84.16,68,18,14.97,US,1685142953
Minas de Marcona,-15.2119,-75.1103,58.86,86,100,13.94,PE,1685142953
Isafjordur,66.0755,-23.124,37.58,99,100,13.18,IS,1685142954
West Island,-12.1568,96.8225,80.58,74,40,17.27,CC,1685142954
Badger,64.8,-147.5333,62.85,60,75,16.11,US,1685142954
Port Augusta,-32.5,137.7667,55.69,67,95,4.72,AU,1685142954
Ust-Nera,64.5667,143.2,42.44,59,20,5.23,RU,1685142954
Lüshunkou,38.8,121.2667,59.22,91,100,10.38,CN,1685142955
Mana,5.6592,-53.7767,78.21,92,100,8.16,GF,1685142955
Keetmanshoop,-26.5833,18.1333,49.98,30,88,9.37,NA,1685142955
Dompu,-8.5356,118.4622,72.82,92,80,3.49,ID,1685142955
Tiksi,71.6872,128.8694,34.5,99,100,11.65,RU,1685142956
